manifest_flat,section_slug,item_index,lab_name,game_research_id,mapped,import_from_research_level
52,utility-research,6,Package After Boss,80,yes,yes
53,utility-research,7,Recovery Package Amount,-1,no,no
54,utility-research,8,Recovery Package Max,-1,no,no
55,utility-research,9,Recovery Package Chance,-1,no,no
56,utility-research,10,Enemy Attack Level Skip,81,yes,yes
57,utility-research,11,Enemy Health Level Skip,124,yes,yes
58,ultimate-weapon-research,0,Missile Despawn Time,-1,no,no
59,ultimate-weapon-research,1,Missiles Explosion,-1,no,no
60,ultimate-weapon-research,2,Missile Radius,-1,no,no
61,ultimate-weapon-research,3,Chrono Field Duration,-1,no,no
62,ultimate-weapon-research,4,Chrono Field Damage Reduction,-1,no,no
63,ultimate-weapon-research,5,Chrono Field Reduction %,-1,no,no
64,ultimate-weapon-research,6,Swamp Radius,-1,no,no
65,ultimate-weapon-research,7,Swamp Stun,-1,no,no
66,ultimate-weapon-research,8,Swamp Stun Chance,-1,no,no
67,ultimate-weapon-research,9,Swamp Stun Time,-1,no,no
68,ultimate-weapon-research,10,Golden Tower Bonus,60,yes,yes
69,ultimate-weapon-research,11,Golden Tower Duration,88,yes,yes
70,ultimate-weapon-research,12,Chain Lightning Shock,82,yes,yes
71,ultimate-weapon-research,13,Shock Chance,-1,no,no
72,ultimate-weapon-research,14,Shock Multiplier,-1,no,no
73,ultimate-weapon-research,15,Death Wave Health,65,yes,yes
74,ultimate-weapon-research,16,Death Wave Coin Bonus,66,yes,yes
75,ultimate-weapon-research,17,Inner Mine Blast Radius,-1,no,no
76,ultimate-weapon-research,18,Inner Mine Rotation Speed,-1,no,no
77,ultimate-weapon-research,19,Chrono Field Range,-1,no,no
78,ultimate-weapon-research,20,Missile Amplifier,-1,no,no
79,ultimate-weapon-research,21,Missile Barrage,-1,no,no
80,ultimate-weapon-research,22,Missile Barrage Quantity,-1,no,no
81,ultimate-weapon-research,23,Inner Mine Stun,-1,no,no
82,ultimate-weapon-research,24,Black Hole Damage,94,yes,yes
83,ultimate-weapon-research,25,Extra Black Hole,85,yes,yes
84,ultimate-weapon-research,26,Black Hole Coin Bonus,96,yes,yes
85,ultimate-weapon-research,27,Spotlight Coin Bonus,97,yes,yes
86,ultimate-weapon-research,28,Spotlight Missiles,-1,no,no
87,ultimate-weapon-research,29,Black Hole Disable Ranged Enemies,95,yes,yes
88,ultimate-weapon-research,30,Recharge Missile Barrage,-1,no,no
89,ultimate-weapon-research,31,Swamp Rend,-1,no,no
90,ultimate-weapon-research,32,Swamp Rend - Additional Enemies,-1,no,no
91,ultimate-weapon-research,33,Chain Thunder,-1,no,no
92,ultimate-weapon-research,34,Lightning Amplifier - Scatter,-1,no,no
93,ultimate-weapon-research,35,Death Wave Cells Bonus,190,yes,yes
94,ultimate-weapon-research,36,Death Wave Damage Amplifier,-1,no,no
95,ultimate-weapon-research,37,Death Wave Armor Stripping,-1,no,no
96,ultimate-weapon-research,38,Inner Land Mine - Chrono Jump,-1,no,no
97,cards-research,0,Second Wind Blast,70,yes,yes
98,cards-research,1,Double Death Ray,71,yes,yes
99,cards-research,2,Extra Orb Adjuster,132,yes,yes
100,cards-research,3,Extra Extra Orbs,73,yes,yes
101,cards-research,4,Energy Shield Extra Hit,74,yes,yes
102,cards-research,5,Super Tower Bonus,-1,no,no
103,cards-research,6,Recharge Second Wind,-1,no,no
104,cards-research,7,Recharge Demon Mode,-1,no,no
105,cards-research,8,Recharge Nuke,-1,no,no
106,perks-research,0,Unlock Perks,133,yes,yes
107,perks-research,1,Waves Required,125,yes,yes
108,perks-research,2,Auto Pick Perks,150,yes,yes
109,perks-research,3,Standard Perks Bonus,83,yes,yes
110,perks-research,4,Perk Option Quantity,84,yes,yes
111,perks-research,5,First Perk Choice,151,yes,yes
112,perks-research,6,Ban Perks,87,yes,yes
113,perks-research,7,Improve Trade-off Perks,193,yes,yes
114,perks-research,8,Auto Pick Ranking,153,yes,yes
115,bots,0,Flame Bot - Cooldown,-1,no,no
116,bots,1,Thunder Bot - Cooldown,-1,no,no
117,bots,2,Golden Bot - Cooldown,-1,no,no
118,bots,3,Amplify Bot - Cooldown,-1,no,no
119,bots,4,Bot Bot - Cooldown,-1,no,no
120,bots,5,Flame Bot - Burn Stack,-1,no,no
121,bots,6,Thunder Bot - Linger Time,-1,no,no
122,bots,7,Golden Bot - Duration,-1,no,no
123,bots,8,Amplify Bot - Duration,-1,no,no
124,bots,9,Bot Bot - Duration,-1,no,no
125,enemies,0,Common Enemy Health,-1,no,no
126,enemies,1,Common Enemy Attack,-1,no,no
127,enemies,2,Fast Enemy Health,-1,no,no
128,enemies,3,Fast Enemy Attack,-1,no,no
129,enemies,4,Fast Enemy Speed,-1,no,no
130,enemies,5,Tank Enemy Health,-1,no,no
131,enemies,6,Tank Enemy Attack,-1,no,no
132,enemies,7,Ranged Enemy Health,-1,no,no
133,enemies,8,Ranged Enemy Attack,-1,no,no
134,enemies,9,Boss Health,-1,no,no
135,enemies,10,Boss Attack,-1,no,no
136,enemies,11,Protector Health,-1,no,no
137,enemies,12,Protector Radius,-1,no,no
138,enemies,13,Protector Damage Reduction,-1,no,no
139,enemies,14,Ray Enemy Attack,-1,no,no
140,enemies,15,Ray Enemy Health,-1,no,no
141,enemies,16,Vampire Enemy Attack,-1,no,no
142,enemies,17,Vampire Enemy Health,-1,no,no
143,enemies,18,Scatter Enemy Attack,-1,no,no
144,enemies,19,Scatter Enemy Health,-1,no,no
145,enemies,20,Ranged Enemy Range,-1,no,no
146,modules,0,Common Drop Chance,-1,no,no
147,modules,1,Reroll Shards,-1,no,no
148,modules,2,Daily Mission Shards,-1,no,no
149,modules,3,Module Shards Cost,-1,no,no
150,modules,4,Module Coin Cost,-1,no,no
151,modules,5,Rare Drop Chance,-1,no,no
152,modules,6,Unmerge Module,-1,no,no
153,modules,7,Shatter Shards,-1,no,no
154,modules,8,Cannon Effect Bans,-1,no,no
155,modules,9,Armor Effect Bans,-1,no,no
156,modules,10,Generator Effect Bans,104,yes,yes
157,modules,11,Core Effect Bans,-1,no,no
158,modules,12,Assist Module Substats - Cannon,-1,no,no
159,modules,13,Assist Module Substats - Armor,-1,no,no
160,modules,14,Assist Module Substats - Generator,-1,no,no
161,modules,15,Assist Module Substats - Core,-1,no,no
162,modules,16,Assist Module Bonus - Cannon,-1,no,no
163,modules,17,Assist Module Bonus - Armor,-1,no,no
164,modules,18,Assist Module Bonus - Generator,-1,no,no
165,modules,19,Assist Module Bonus - Core,-1,no,no
166,card-mastery,0,Damage Mastery,-1,no,no
167,card-mastery,1,Attack Speed Mastery,-1,no,no
168,card-mastery,2,Health Mastery,-1,no,no
169,card-mastery,3,Health Regen Mastery,-1,no,no
170,card-mastery,4,Range Mastery,-1,no,no
171,card-mastery,5,Cash Mastery,-1,no,no
172,card-mastery,6,Coins Mastery,-1,no,no
173,card-mastery,7,Slow Aura Mastery,-1,no,no
174,card-mastery,8,Critical Chance Mastery,-1,no,no
175,card-mastery,9,Enemy Balance Mastery,-1,no,no
176,card-mastery,10,Extra Defense Mastery,-1,no,no
177,card-mastery,11,Fortress Mastery,-1,no,no
178,card-mastery,12,Free Upgrades Mastery,-1,no,no
179,card-mastery,13,Extra Orb Mastery,-1,no,no
180,card-mastery,14,Plasma Cannon Mastery,-1,no,no
181,card-mastery,15,Critical Coin Mastery,-1,no,no
182,card-mastery,16,Wave Skip Mastery,-1,no,no
183,card-mastery,17,Intro Sprint Mastery,-1,no,no
184,card-mastery,18,Land Mine Stun Mastery,-1,no,no
185,card-mastery,19,Recovery Package Chance Mastery,-1,no,no
186,card-mastery,20,Death Ray Mastery,-1,no,no
187,card-mastery,21,Energy Net Mastery,-1,no,no
188,card-mastery,22,Super Tower Mastery,-1,no,no
189,card-mastery,23,Second Wind Mastery,-1,no,no
190,card-mastery,24,Demon Mode Mastery,-1,no,no
191,card-mastery,25,Energy Shield Mastery,-1,no,no
192,card-mastery,26,Wave Accelerator Mastery,-1,no,no
193,card-mastery,27,Berserker Mastery,-1,no,no
194,card-mastery,28,Ultimate Crit Mastery,-1,no,no
195,card-mastery,29,Nuke Mastery,-1,no,no
196,card-mastery,30,Area of Effect Mastery,-1,no,no
197,battle-condition,0,Battle Condition Reduction,-1,no,no
198,battle-condition,1,Knockback Resistance,-1,no,no
199,battle-condition,2,Thorns Resistance,-1,no,no
200,battle-condition,3,Orb Resistance,-1,no,no
201,battle-condition,4,Plasma Cannon Resistance,-1,no,no
202,battle-condition,5,Death Ray Resistance,-1,no,no
203,battle-condition,6,Armored Enemies,-1,no,no
204,battle-condition,7,Enemy Speed,-1,no,no
205,battle-condition,8,More Enemies,-1,no,no
206,battle-condition,9,Enemy Attack Speed,-1,no,no
207,battle-condition,10,Fast's Ultimate,-1,no,no
208,battle-condition,11,Ranged Ultimate,-1,no,no
209,battle-condition,12,Boss's Ultimate,-1,no,no
210,battle-condition,13,Basic's Ultimate,-1,no,no
211,battle-condition,14,Tank's Ultimate,-1,no,no
212,battle-condition,15,Protector's Ultimate,-1,no,no
213,battle-condition,16,Ultimate Weapon Durations,-1,no,no
214,battle-condition,17,Death Defy Down,-1,no,no
215,battle-condition,18,Energy Shields Down,-1,no,no
216,battle-condition,19,Enemy Level Skip Reduction,-1,no,no
