category,save_array,save_index,towersmith_field,display_name,import_mapped,notes
workshop_defense,upgradeWorkshopDefenseLevel,14,landMineRadiusLevel,Land Mine Radius,yes,
workshop_defense,upgradeWorkshopDefenseLevel,15,deathDefyLevel,Death Defy,yes,
workshop_defense,upgradeWorkshopDefenseLevel,16,wallHealthLevel,Wall Health,yes,
workshop_defense,upgradeWorkshopDefenseLevel,17,wallRebuildLevel,Wall Rebuild,yes,
workshop_utility,upgradeWorkshopUtilityLevel,0,cashBonusLevel,Cash Bonus,yes,
workshop_utility,upgradeWorkshopUtilityLevel,1,cashPerWaveLevel,Cash/Wave,yes,
workshop_utility,upgradeWorkshopUtilityLevel,2,coinsKillBonusLevel,Coins/Kill,yes,
workshop_utility,upgradeWorkshopUtilityLevel,3,coinsWaveLevel,Coins/Wave,yes,
workshop_utility,upgradeWorkshopUtilityLevel,4,freeAttackUpgradeLevel,Free Attack Upgrade,yes,
workshop_utility,upgradeWorkshopUtilityLevel,5,freeDefenseUpgradeLevel,Free Defense Upgrade,yes,
workshop_utility,upgradeWorkshopUtilityLevel,6,freeUtilityUpgradeLevel,Free Utility Upgrade,yes,
workshop_utility,upgradeWorkshopUtilityLevel,7,interestPerWaveLevel,Interest/Wave,yes,
workshop_utility,upgradeWorkshopUtilityLevel,8,recoveryAmountLevel,Recovery Amount,yes,
workshop_utility,upgradeWorkshopUtilityLevel,9,maxRecoveryLevel,Max Recovery,yes,
workshop_utility,upgradeWorkshopUtilityLevel,10,packageChanceLevel,Package Chance,yes,
workshop_utility,upgradeWorkshopUtilityLevel,11,enemyAttackLevelSkipLevel,Enemy Attack Level Skip,yes,
workshop_utility,upgradeWorkshopUtilityLevel,12,enemyHealthLevelSkipLevel,Enemy Health Level Skip,yes,
enhance_attack,enhancementLevel,0,enhanceDamageLevel,enhanceDamageLevel,yes,
enhance_attack,enhancementLevel,1,enhanceRendArmorLevel,enhanceRendArmorLevel,yes,
enhance_attack,enhancementLevel,2,enhanceCritFactorLevel,enhanceCritFactorLevel,yes,
enhance_attack,enhancementLevel,3,enhanceDamagePerMeterLevel,enhanceDamagePerMeterLevel,yes,
enhance_attack,enhancementLevel,4,enhanceSuperCritMultLevel,enhanceSuperCritMultLevel,yes,
enhance_attack,enhancementLevel,5,enhanceAttackSpeedLevel,enhanceAttackSpeedLevel,yes,
enhance_defense,enhancementDefenseLevel,0,enhanceHealthLevel,enhanceHealthLevel,yes,
enhance_defense,enhancementDefenseLevel,1,enhanceHealthRegenLevel,enhanceHealthRegenLevel,yes,
enhance_defense,enhancementDefenseLevel,2,enhanceDefenseAbsoluteLevel,enhanceDefenseAbsoluteLevel,yes,
enhance_defense,enhancementDefenseLevel,3,enhanceLandMineDamageLevel,enhanceLandMineDamageLevel,yes,
enhance_defense,enhancementDefenseLevel,4,enhanceWallHealthLevel,enhanceWallHealthLevel,yes,
enhance_defense,enhancementDefenseLevel,5,enhanceOrbSizeLevel,enhanceOrbSizeLevel,yes,
enhance_utility,enhancementUtilityLevel,0,enhanceCashBonusLevel,enhanceCashBonusLevel,yes,
enhance_utility,enhancementUtilityLevel,1,enhanceCoinBonusLevel,enhanceCoinBonusLevel,yes,
enhance_utility,enhancementUtilityLevel,2,enhanceCellsKillBonusLevel,enhanceCellsKillBonusLevel,yes,
enhance_utility,enhancementUtilityLevel,3,enhanceFreeUpgradesLevel,enhanceFreeUpgradesLevel,yes,
enhance_utility,enhancementUtilityLevel,4,enhanceRecoveryPackageLevel,enhanceRecoveryPackageLevel,yes,
enhance_utility,enhancementUtilityLevel,5,enhanceEnemyLevelSkipLevel,enhanceEnemyLevelSkipLevel,yes,
bot_owned,botsUnlocked,0,flameOwned,flame bot (owned),yes,assumes save index matches WORKSHOP_BOT_ORDER
bot_active,botsActive,0,flameActive,flame bot (active),yes,assumes save index matches WORKSHOP_BOT_ORDER
bot_owned,botsUnlocked,1,thunderOwned,thunder bot (owned),yes,assumes save index matches WORKSHOP_BOT_ORDER
bot_active,botsActive,1,thunderActive,thunder bot (active),yes,assumes save index matches WORKSHOP_BOT_ORDER
bot_owned,botsUnlocked,2,goldenOwned,golden bot (owned),yes,assumes save index matches WORKSHOP_BOT_ORDER
bot_active,botsActive,2,goldenActive,golden bot (active),yes,assumes save index matches WORKSHOP_BOT_ORDER
bot_owned,botsUnlocked,3,amplifyOwned,amplify bot (owned),yes,assumes save index matches WORKSHOP_BOT_ORDER
bot_active,botsActive,3,amplifyActive,amplify bot (active),yes,assumes save index matches WORKSHOP_BOT_ORDER
bot_owned,botsUnlocked,4,botBotOwned,botBot bot (owned),yes,assumes save index matches WORKSHOP_BOT_ORDER
bot_active,botsActive,4,botBotActive,botBot bot (active),yes,assumes save index matches WORKSHOP_BOT_ORDER
bot_upgrade,botsLevel,0,flameBotDamageReductionLevel,flameBotDamageReductionLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,1,flameBotCooldownLevel,flameBotCooldownLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,2,flameBotDamageLevel,flameBotDamageLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,3,flameBotRangeLevel,flameBotRangeLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,4,thunderBotDurationLevel,thunderBotDurationLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,5,thunderBotCooldownLevel,thunderBotCooldownLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,6,thunderBotLingerLevel,thunderBotLingerLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,7,thunderBotRangeLevel,thunderBotRangeLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,8,goldenBotDurationLevel,goldenBotDurationLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,9,goldenBotCooldownLevel,goldenBotCooldownLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,10,goldenBotBonusLevel,goldenBotBonusLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,11,goldenBotRangeLevel,goldenBotRangeLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,12,amplifyBotDurationLevel,amplifyBotDurationLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,13,amplifyBotCooldownLevel,amplifyBotCooldownLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,14,amplifyBotBonusLevel,amplifyBotBonusLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,15,amplifyBotRangeLevel,amplifyBotRangeLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,16,botBotDurationLevel,botBotDurationLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,17,botBotCooldownLevel,botBotCooldownLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,18,botBotBonusLevel,botBotBonusLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
bot_upgrade,botsLevel,19,botBotRangeLevel,botBotRangeLevel,yes,linear index → WORKSHOP_BOT_UPGRADE_ORDER
ultimate_owned,ultimateWeaponUnlocked,5,goldenTowerOwned,Golden Tower,yes,UI order 0; game index 5
ultimate_active,ultimateWeaponOn,5,goldenTowerActive,Golden Tower,yes,UI order 0; game index 5
ultimate_upgrade,ultimateWeaponLevel,15,goldenTowerBonusLevel,Golden Tower upgrade 0,yes,"game weapon 5, slot 0"
ultimate_upgrade,ultimateWeaponLevel,16,goldenTowerDurationLevel,Golden Tower upgrade 1,yes,"game weapon 5, slot 1"
ultimate_upgrade,ultimateWeaponLevel,17,goldenTowerCooldownLevel,Golden Tower upgrade 2,yes,"game weapon 5, slot 2"
ultimate_owned,ultimateWeaponUnlocked,7,blackHoleOwned,Black Hole,yes,UI order 1; game index 7
ultimate_active,ultimateWeaponOn,7,blackHoleActive,Black Hole,yes,UI order 1; game index 7
ultimate_upgrade,ultimateWeaponLevel,21,blackHoleSizeLevel,Black Hole upgrade 0,yes,"game weapon 7, slot 0"
ultimate_upgrade,ultimateWeaponLevel,22,blackHoleDurationLevel,Black Hole upgrade 1,yes,"game weapon 7, slot 1"
ultimate_upgrade,ultimateWeaponLevel,23,blackHoleCooldownLevel,Black Hole upgrade 2,yes,"game weapon 7, slot 2"
ultimate_owned,ultimateWeaponUnlocked,8,spotlightOwned,Spotlight,yes,UI order 2; game index 8
ultimate_active,ultimateWeaponOn,8,spotlightActive,Spotlight,yes,UI order 2; game index 8
ultimate_upgrade,ultimateWeaponLevel,24,spotlightBonusLevel,Spotlight upgrade 0,yes,"game weapon 8, slot 0"
ultimate_upgrade,ultimateWeaponLevel,25,spotlightAngleLevel,Spotlight upgrade 1,yes,"game weapon 8, slot 1"
ultimate_upgrade,ultimateWeaponLevel,26,spotlightQuantityLevel,Spotlight upgrade 2,yes,"game weapon 8, slot 2"
ultimate_owned,ultimateWeaponUnlocked,2,deathWaveOwned,Death Wave,yes,UI order 3; game index 2
ultimate_active,ultimateWeaponOn,2,deathWaveActive,Death Wave,yes,UI order 3; game index 2
ultimate_upgrade,ultimateWeaponLevel,6,deathWaveDamageLevel,Death Wave upgrade 0,yes,"game weapon 2, slot 0"
ultimate_upgrade,ultimateWeaponLevel,7,deathWaveQuantityLevel,Death Wave upgrade 1,yes,"game weapon 2, slot 1"
ultimate_upgrade,ultimateWeaponLevel,8,deathWaveCooldownLevel,Death Wave upgrade 2,yes,"game weapon 2, slot 2"
ultimate_owned,ultimateWeaponUnlocked,0,chainLightningOwned,Chain Lightning,yes,UI order 4; game index 0
ultimate_active,ultimateWeaponOn,0,chainLightningActive,Chain Lightning,yes,UI order 4; game index 0
ultimate_upgrade,ultimateWeaponLevel,0,chainLightningDamageLevel,Chain Lightning upgrade 0,yes,"game weapon 0, slot 0"
ultimate_upgrade,ultimateWeaponLevel,1,chainLightningQuantityLevel,Chain Lightning upgrade 1,yes,"game weapon 0, slot 1"
ultimate_upgrade,ultimateWeaponLevel,2,chainLightningChanceLevel,Chain Lightning upgrade 2,yes,"game weapon 0, slot 2"
ultimate_owned,ultimateWeaponUnlocked,1,smartMissilesOwned,Smart Missiles,yes,UI order 5; game index 1
ultimate_active,ultimateWeaponOn,1,smartMissilesActive,Smart Missiles,yes,UI order 5; game index 1
ultimate_upgrade,ultimateWeaponLevel,3,smartMissilesDamageLevel,Smart Missiles upgrade 0,yes,"game weapon 1, slot 0"
ultimate_upgrade,ultimateWeaponLevel,4,smartMissilesQuantityLevel,Smart Missiles upgrade 1,yes,"game weapon 1, slot 1"
ultimate_upgrade,ultimateWeaponLevel,5,smartMissilesCooldownLevel,Smart Missiles upgrade 2,yes,"game weapon 1, slot 2"
ultimate_owned,ultimateWeaponUnlocked,4,innerLandMinesOwned,Inner Land Mines,yes,UI order 6; game index 4
ultimate_active,ultimateWeaponOn,4,innerLandMinesActive,Inner Land Mines,yes,UI order 6; game index 4
ultimate_upgrade,ultimateWeaponLevel,12,innerLandMinesDamageLevel,Inner Land Mines upgrade 0,yes,"game weapon 4, slot 0"
ultimate_upgrade,ultimateWeaponLevel,13,innerLandMinesQuantityLevel,Inner Land Mines upgrade 1,yes,"game weapon 4, slot 1"
ultimate_upgrade,ultimateWeaponLevel,14,innerLandMinesCooldownLevel,Inner Land Mines upgrade 2,yes,"game weapon 4, slot 2"
ultimate_owned,ultimateWeaponUnlocked,6,poisonSwampOwned,Poison Swamp,yes,UI order 7; game index 6
ultimate_active,ultimateWeaponOn,6,poisonSwampActive,Poison Swamp,yes,UI order 7; game index 6
ultimate_upgrade,ultimateWeaponLevel,18,poisonSwampDamageLevel,Poison Swamp upgrade 0,yes,"game weapon 6, slot 0"
ultimate_upgrade,ultimateWeaponLevel,19,poisonSwampDurationLevel,Poison Swamp upgrade 1,yes,"game weapon 6, slot 1"
ultimate_upgrade,ultimateWeaponLevel,20,poisonSwampCooldownLevel,Poison Swamp upgrade 2,yes,"game weapon 6, slot 2"
ultimate_owned,ultimateWeaponUnlocked,3,chronoFieldOwned,Chrono Field,yes,UI order 8; game index 3
ultimate_active,ultimateWeaponOn,3,chronoFieldActive,Chrono Field,yes,UI order 8; game index 3
ultimate_upgrade,ultimateWeaponLevel,9,chronoFieldDurationLevel,Chrono Field upgrade 0,yes,"game weapon 3, slot 0"
ultimate_upgrade,ultimateWeaponLevel,10,chronoFieldSlowLevel,Chrono Field upgrade 1,yes,"game weapon 3, slot 1"
ultimate_upgrade,ultimateWeaponLevel,11,chronoFieldCooldownLevel,Chrono Field upgrade 2,yes,"game weapon 3, slot 2"
ultimate_plus,ultimateWeaponPlusLevel,0,ultimatePlusChainLightningSmiteLevel,chainLightningSmite,yes,wiki plus unlock order
ultimate_plus,ultimateWeaponPlusLevel,1,ultimatePlusSmartMissilesCoverFireLevel,smartMissilesCoverFire,yes,wiki plus unlock order
ultimate_plus,ultimateWeaponPlusLevel,2,ultimatePlusPoisonSwampDeathCreepLevel,poisonSwampDeathCreep,yes,wiki plus unlock order
ultimate_plus,ultimateWeaponPlusLevel,3,ultimatePlusGoldenTowerGoldenComboLevel,goldenTowerGoldenCombo,yes,wiki plus unlock order
ultimate_plus,ultimateWeaponPlusLevel,4,ultimatePlusInnerLandMinesChargedMinesLevel,innerLandMinesChargedMines,yes,wiki plus unlock order
ultimate_plus,ultimateWeaponPlusLevel,5,ultimatePlusDeathWaveKillWallLevel,deathWaveKillWall,yes,wiki plus unlock order
ultimate_plus,ultimateWeaponPlusLevel,6,ultimatePlusBlackHoleConsumeLevel,blackHoleConsume,yes,wiki plus unlock order
ultimate_plus,ultimateWeaponPlusLevel,7,ultimatePlusChronoFieldChronoLoopLevel,chronoFieldChronoLoop,yes,wiki plus unlock order
ultimate_plus,ultimateWeaponPlusLevel,8,ultimatePlusSpotlightLightRangeLevel,spotlightLightRange,yes,wiki plus unlock order
card_stars,cardLevel,0,cardStars.damage,damage,yes,
card_stars,cardLevel,1,cardStars.attackSpeed,attackSpeed,yes,
card_stars,cardLevel,2,cardStars.health,health,yes,
card_stars,cardLevel,3,cardStars.healthRegen,healthRegen,yes,
card_stars,cardLevel,4,cardStars.range,range,yes,
card_stars,cardLevel,5,cardStars.cash,cash,yes,
card_stars,cardLevel,6,cardStars.coins,coins,yes,
card_stars,cardLevel,7,cardStars.slowAura,slowAura,yes,
card_stars,cardLevel,8,cardStars.criticalChance,criticalChance,yes,
card_stars,cardLevel,9,cardStars.enemyBalance,enemyBalance,yes,
card_stars,cardLevel,10,cardStars.extraDefense,extraDefense,yes,
card_stars,cardLevel,11,cardStars.fortress,fortress,yes,
card_stars,cardLevel,12,cardStars.freeUpgrades,freeUpgrades,yes,
card_stars,cardLevel,13,cardStars.extraOrb,extraOrb,yes,
card_stars,cardLevel,14,cardStars.plasmaCannon,plasmaCannon,yes,
card_stars,cardLevel,15,cardStars.criticalCoin,criticalCoin,yes,
card_stars,cardLevel,16,cardStars.waveSkip,waveSkip,yes,
card_stars,cardLevel,17,cardStars.introSprint,introSprint,yes,
card_stars,cardLevel,18,cardStars.landMineStun,landMineStun,yes,
card_stars,cardLevel,19,cardStars.recoveryPackageChance,recoveryPackageChance,yes,
card_stars,cardLevel,20,cardStars.deathRay,deathRay,yes,
card_stars,cardLevel,21,cardStars.energyNet,energyNet,yes,
card_stars,cardLevel,22,cardStars.superTower,superTower,yes,
card_stars,cardLevel,23,cardStars.secondWind,secondWind,yes,
card_stars,cardLevel,24,cardStars.demonMode,demonMode,yes,
card_stars,cardLevel,25,cardStars.energyShield,energyShield,yes,
card_stars,cardLevel,26,cardStars.waveAccelerator,waveAccelerator,yes,
card_stars,cardLevel,27,cardStars.berserker,berserker,yes,
card_stars,cardLevel,28,cardStars.ultimateCrit,ultimateCrit,yes,
card_stars,cardLevel,29,cardStars.nuke,nuke,yes,
card_stars,cardLevel,30,cardStars.areaOfEffect,areaOfEffect,yes,
relic,relicsUnlocked,0,relicOwnedIds (includes no_spoon),No Spoon,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,1,relicOwnedIds (includes red_pill),Red Pill,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,2,relicOwnedIds (includes copper_badge),Copper Badge,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,3,relicOwnedIds (includes silver_badge),Silver Badge,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,4,relicOwnedIds (includes gold_badge),Gold Badge,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,5,relicOwnedIds (includes platinum_badge),Platinum Badge,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,6,relicOwnedIds (includes champion_badge),Champion Badge,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,7,relicOwnedIds (includes tower_master),Tower Master,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,8,relicOwnedIds (includes t_i_flux),T:I Flux,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,9,relicOwnedIds (includes t_ii_lumin),T:II Lumin,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,10,relicOwnedIds (includes t_iii_pulse),T:III Pulse,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,11,relicOwnedIds (includes t_iv_harmonic),T:IV Harmonic,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,12,relicOwnedIds (includes t_v_ether),T:V Ether,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,13,relicOwnedIds (includes t_vi_nova),T:VI Nova,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,14,relicOwnedIds (includes t_vii_aether),T:VII Aether,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,15,relicOwnedIds (includes t_viii_graviton),T:VIII Graviton,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,16,relicOwnedIds (includes t_ix_fusion),T:IX Fusion,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,17,relicOwnedIds (includes t_x_plasma),T:X Plasma,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,18,relicOwnedIds (includes t_xi_resonance),T:XI Resonance,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,19,relicOwnedIds (includes t_xii_chrono),T:XII Chrono,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,20,relicOwnedIds (includes t_xiii_hyper),T:XIII Hyper,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,21,relicOwnedIds (includes t_xiv_arcane),T:XIV Arcane,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,22,relicOwnedIds (includes t_xv_celestial),T:XV Celestial,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,23,relicOwnedIds (includes 1st_tower_birthday),1st Tower Birthday,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,24,relicOwnedIds (includes 2nd_tower_birthday),2nd Tower Birthday,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,25,relicOwnedIds (includes 3rd_tower_birthday),3rd Tower Birthday,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,26,relicOwnedIds (includes dreamcatcher),Dreamcatcher,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,27,relicOwnedIds (includes spirit_wolf),Spirit Wolf,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,28,relicOwnedIds (includes bacteriophage),Bacteriophage,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,29,relicOwnedIds (includes neuron),Neuron,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,30,relicOwnedIds (includes ionized_plasma),Ionized Plasma,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,31,relicOwnedIds (includes plasma_arc),Plasma Arc,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,32,relicOwnedIds (includes honey_drop),Honey Drop,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,33,relicOwnedIds (includes stinger),Stinger,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,34,relicOwnedIds (includes aurora_vortex),Aurora Vortex,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,35,relicOwnedIds (includes contained_ions),Contained Ions,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,36,relicOwnedIds (includes alien_head),Alien Head,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,37,relicOwnedIds (includes alien_warp_drive),Alien Warp Drive,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,38,relicOwnedIds (includes ancient_tome),Ancient Tome,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,39,relicOwnedIds (includes space_sundial),Space Sundial,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,40,relicOwnedIds (includes spooky_bat),Spooky Bat,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,41,relicOwnedIds (includes man_skull),Man Skull,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,42,relicOwnedIds (includes cherry),Cherry,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,43,relicOwnedIds (includes sakura_lantern),Sakura Lantern,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,44,relicOwnedIds (includes tower_latte),Tower Latte,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,45,relicOwnedIds (includes pumpkin),Pumpkin,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,46,relicOwnedIds (includes holy_joystick),Game Joystick,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,47,relicOwnedIds (includes controller),Controller,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,48,relicOwnedIds (includes firework),Firework,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,49,relicOwnedIds (includes champagne),Champagne,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,50,relicOwnedIds (includes palm_tree),Palm Tree,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,51,relicOwnedIds (includes pixel_cube_heart),Pixel Cube Heart,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,52,relicOwnedIds (includes dark_sight),Dark Sight,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,53,relicOwnedIds (includes creepy_smile),Creepy Smile,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,54,relicOwnedIds (includes submarine),Submarine,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,55,relicOwnedIds (includes the_kraken),The Kraken,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,56,relicOwnedIds (includes warp_gate),Warp Gate,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,57,relicOwnedIds (includes star_ship),Star Ship,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,58,relicOwnedIds (includes barnacle),Barnacle,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,59,relicOwnedIds (includes wave),Wave,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,60,relicOwnedIds (includes pizza),Pizza,yes,value 2 = owned; index is Il2Cpp Relic enum
relic,relicsUnlocked,61,relicOwnedIds (includes illuminati),Illuminati,yes,value 2 = owned; index is Il2Cpp Relic enum
